DATE,GVZCLS,VXGDXCLS,BAMLH0A0HYM2,sp500,gold_swing,gold_sc,gold_30
2011-09-13,0.6633319722335648,0.3467789473684211,0.7010119595216192,0.03533333333333303,1.0077519379844961,0.8804392521103935,
2011-09-14,0.6090240914659044,0.348378947368421,0.6945722171113156,0.05270000000000057,0.9942591580098414,0.8797136153641487,
2011-09-15,0.6014699877501022,0.34357894736842104,0.6890524379024839,0.06809999999999945,0.9867109634551495,0.8620564545388578,
2011-09-16,0.5892200898325848,0.31082105263157894,0.6862925482980681,0.0230000000000003,1.0089988751406074,0.8678615485088165,
2011-09-19,0.6267864434463046,0.30694736842105264,0.7000919963201473,-0.03973333333333358,0.9873417721518988,0.8678615485088165,
2011-09-20,0.625357288689261,0.3199157894736842,0.6982520699172033,-0.006666666666666667,1.00390625,0.8702803376629659,
2011-09-21,0.6059616169865252,0.3383578947368421,0.7000919963201473,-0.11776666666666642,0.9904709294296368,0.8673777906779866,
2011-09-22,0.6572070232748061,0.40404210526315787,0.7313707451701933,-0.12400000000000015,0.9753610875106202,0.8330309846890647,
2011-09-23,0.7997141690485914,0.4542315789473684,0.7368905243790249,0.022900000000000396,0.9763005780346821,0.8170669762716783,
2011-09-26,0.8138015516537362,0.43595789473684216,0.735970561177553,0.08839999999999994,0.9894736842105263,0.7730450136661587,
2011-09-27,0.7462229481420988,0.4120421052631579,0.7286108555657774,0.041433333333333544,0.992818671454219,0.8025542413467818,
2011-09-28,0.8156390363413639,0.4506947368421053,0.7387304507819688,-0.08106666666666722,0.992749244712991,0.7948141160535036,
2011-09-29,0.7570436913025725,0.4517052631578947,0.750689972401104,0.031133333333333818,0.995679012345679,0.780301381128607,
2011-09-30,0.7560228664761127,0.44951578947368426,0.7736890524379025,-0.09660000000000006,0.994475138121547,0.7836876859444162,
2011-10-03,0.7537770518579012,0.4701473684210526,0.8022079116835328,-0.10730000000000019,0.9972891566265061,0.8008610889388772,
2011-10-04,0.7705185790118416,0.47578947368421054,0.8371665133394665,0.08240000000000008,0.9796650717703349,0.7923953268993541,
2011-10-05,0.754185381788485,0.44303157894736844,0.8261269549218032,0.0669333333333331,1.010625,0.7822364124519265,
2011-10-06,0.7190690077582687,0.4321684210526316,0.8022079116835328,0.06980000000000018,0.9912094574113368,0.7909440534068645,
2011-10-07,0.6770110249081257,0.4272842105263158,0.7865685372585098,-0.03169999999999997,1.0006056935190792,0.7991679365309725,
2011-10-10,0.6382196815026542,0.4102736842105263,0.7874885004599818,0.13143333333333354,0.9981971153846154,0.8035217570084415,
2011-10-11,0.625153123723969,0.39898947368421056,0.7672493100275989,0.002166666666666212,1.0006016847172081,0.8044892726701013,
2011-10-12,0.6024908125765619,0.37347368421052635,0.7424103035878565,0.039033333333333455,0.997036158861885,0.8136806714558692,
2011-10-13,0.5814618211514905,0.36336842105263156,0.7405703771849127,-0.011966666666666393,0.9898386132695756,0.8011029678542921,
2011-10-14,0.5432829726418946,0.3521684210526316,0.7258509659613616,0.06973333333333281,1.0011933174224343,0.8117456401325496,
2011-10-17,0.5906492445896284,0.37010526315789477,0.7249310027598896,-0.07906666666666676,0.9958555358200119,0.8136806714558692,
2011-10-18,0.5955492037566354,0.3613473684210526,0.7240110395584177,0.08173333333333403,0.9837153196622437,0.789009022083545,
2011-10-19,0.6355655369538588,0.39814736842105264,0.7083716651333948,-0.051666666666666666,1.000908540278619,0.7994098154463875,
2011-10-20,0.6549612086565946,0.4085052631578947,0.702851885924563,0.018366666666666635,0.994475138121547,0.7836876859444162,
2011-10-21,0.5898325847284607,0.38593684210526313,0.6862925482980681,0.07619999999999967,1.012014787430684,0.7945722371380887,
2011-10-24,0.5508370763576971,0.3646315789473684,0.672493100275989,0.05313333333333352,1.0006056935190792,0.7991679365309725,0.8153254480806909
2011-10-25,0.6108615761535321,0.3794526315789474,0.6706531738730451,-0.08380000000000033,0.9998490566037735,0.8011029678542921,0.8126809052721541
2011-10-26,0.6286239281339322,0.3617684210526316,0.6623735050597976,0.04316666666666682,1.0011675423234092,0.8296446798732554,0.811011940755791
2011-10-27,0.5630869742752144,0.3506526315789474,0.6283348666053359,0.14196666666666638,1.005854800936768,0.831095953365745,0.8099799240500205
2011-10-28,0.527562270314414,0.3446736842105263,0.6301747930082797,0.0016666666666666668,1.0034582132564842,0.8422223834748325,0.8091252852155544
2011-10-31,0.560432829726419,0.35528421052631576,0.6504139834406625,-0.10596666666666654,1.0023282887077998,0.8330309846890647,0.8079642664215627
2011-11-01,0.606369946917109,0.3897263157894737,0.6826126954921804,-0.11673333333333327,0.9982373678025852,0.8219045545799772,0.8063517403187963
2011-11-02,0.615761535320539,0.3783578947368421,0.6761729530818767,0.06540000000000039,1.0069324090121317,0.8431898991364922,0.8055454772674132
2011-11-03,0.6149448754593713,0.35376842105263157,0.6669733210671573,0.0775,1.0147186147186147,0.8504462665989405,0.8061259866644092
2011-11-04,0.579216006533279,0.36117894736842104,0.6678932842686293,-0.026400000000000243,0.9960136674259681,0.8460924461214716,0.8070935023260689
2011-11-07,0.6173948550428746,0.3590736842105263,0.6706531738730451,0.026299999999999577,1.010204081632653,0.8620564545388578,0.8100605503551588
2011-11-08,0.5963658636178032,0.3384421052631579,0.6651333946642135,0.04933333333333394,1.000557413600892,0.8683453063396464,0.812253585854921
2011-11-09,0.6094324213964885,0.3719578947368421,0.688132474701012,-0.15606666666666721,1.002247191011236,0.8630239702005176,0.8145272476598214
